,concept_id,concept_name,child_pair,group_code
23,10003227,Information systems applications,10010926,10002951
24,10003260,World Wide Web,10003261,10002951
24,10003260,World Wide Web,10003272,10002951
24,10003260,World Wide Web,10003277,10002951
24,10003260,World Wide Web,10003282,10002951
24,10003260,World Wide Web,10003300,10002951
24,10003260,World Wide Web,10003304,10002951
24,10003260,World Wide Web,10003309,10002951
25,10003317,Information retrieval,10003318,10002951
25,10003317,Information retrieval,10003325,10002951
25,10003317,Information retrieval,10003331,10002951
25,10003317,Information retrieval,10003338,10002951
25,10003317,Information retrieval,10003347,10002951
25,10003317,Information retrieval,10003359,10002951
25,10003317,Information retrieval,10003365,10002951
25,10003317,Information retrieval,10003371,10002951
26,10002979,Cryptography,10002980,10002978
26,10002979,Cryptography,10002981,10002978
26,10002979,Cryptography,10002982,10002978
26,10002979,Cryptography,10002983,10002978
26,10002979,Cryptography,10002984,10002978
26,10002979,Cryptography,10002985,10002978
27,10002986,Formal methods and theory of security,10002987,10002978
27,10002986,Formal methods and theory of security,10002988,10002978
27,10002986,Formal methods and theory of security,10002989,10002978
27,10002986,Formal methods and theory of security,10002990,10002978
28,10002991,Security services,10002992,10002978
28,10002991,Security services,10002993,10002978
28,10002991,Security services,10002994,10002978
28,10002991,Security services,10002995,10002978
28,10002991,Security services,10002996,10002978
28,10002991,Security services,10010839,10002978
29,10002997,Intrusion/anomaly detection and malware mitigation,10002998,10002978
29,10002997,Intrusion/anomaly detection and malware mitigation,10002999,10002978
29,10002997,Intrusion/anomaly detection and malware mitigation,10003000,10002978
30,10003001,Security in hardware,10003002,10002978
30,10003001,Security in hardware,10003003,10002978
30,10003001,Security in hardware,10003599,10002978
30,10003001,Security in hardware,10010777,10002978
30,10003001,Security in hardware,10011746,10002978
31,10003006,Systems security,10003007,10002978
31,10003006,Systems security,10003011,10002978
31,10003006,Systems security,10003013,10002978
31,10003006,Systems security,10011608,10002978
31,10003006,Systems security,10011610,10002978
31,10003006,Systems security,10011617,10002978
31,10003006,Systems security,10011634,10002978
31,10003006,Systems security,10011747,10002978
32,10003014,Network security,10003015,10002978
32,10003014,Network security,10003016,10002978
32,10003014,Network security,10003017,10002978
32,10003014,Network security,10011610,10002978
32,10003014,Network security,10011617,10002978
33,10003018,Database and storage security,10003019,10002978
33,10003018,Database and storage security,10003020,10002978
33,10003018,Database and storage security,10003021,10002978
33,10003018,Database and storage security,10011607,10002978
34,10003022,Software and application security,10003023,10002978
34,10003022,Software and application security,10003026,10002978
34,10003022,Software and application security,10003027,10002978
34,10003022,Software and application security,10003028,10002978
34,10003022,Software and application security,10003465,10002978
35,10003029,Human and societal aspects of security and privacy,10003031,10002978
35,10003029,Human and societal aspects of security and privacy,10003032,10002978
35,10003029,Human and societal aspects of security and privacy,10011150,10002978
35,10003029,Human and societal aspects of security and privacy,10011703,10002978
36,10003034,Network architectures,10003035,10003033
36,10003034,Network architectures,10003038,10003033
37,10003039,Network protocols,10003040,10003033
37,10003039,Network protocols,10003041,10003033
37,10003039,Network protocols,10003044,10003033
37,10003039,Network protocols,10003045,10003033
37,10003039,Network protocols,10003048,10003033
37,10003039,Network protocols,10003049,10003033
37,10003039,Network protocols,10003050,10003033
37,10003039,Network protocols,10003051,10003033
37,10003039,Network protocols,10003053,10003033
37,10003039,Network protocols,10003056,10003033
37,10003039,Network protocols,10011655,10003033
38,10003058,Network components,10003059,10003033
38,10003058,Network components,10003062,10003033
38,10003058,Network components,10003063,10003033
38,10003058,Network components,10003064,10003033
38,10003058,Network components,10003065,10003033
38,10003058,Network components,10003066,10003033
39,10003068,Network algorithms,10003069,10003033
39,10003068,Network algorithms,10003073,10003033
39,10003068,Network algorithms,10003078,10003033
40,10003079,Network performance evaluation,10003080,10003033
40,10003079,Network performance evaluation,10003081,10003033
40,10003079,Network performance evaluation,10003082,10003033
40,10003079,Network performance evaluation,10011672,10003033
40,10003079,Network performance evaluation,10011704,10003033
41,10003083,Network properties,10003014,10003033
41,10003083,Network properties,10003084,10003033
41,10003083,Network properties,10003090,10003033
41,10003083,Network properties,10003094,10003033
41,10003083,Network properties,10003095,10003033
41,10003083,Network properties,10003097,10003033
41,10003083,Network properties,10003098,10003033
41,10003083,Network properties,10011739,10003033
42,10003099,Network services,10003037,10003033
42,10003099,Network services,10003100,10003033
42,10003099,Network services,10003101,10003033
42,10003099,Network services,10003102,10003033
42,10003099,Network services,10003103,10003033
42,10003099,Network services,10003104,10003033
42,10003099,Network services,10003105,10003033
43,10003106,Network types,10003107,10003033
43,10003106,Network types,10003108,10003033
43,10003106,Network types,10003109,10003033
43,10003106,Network types,10003110,10003033
43,10003106,Network types,10003111,10003033
43,10003106,Network types,10003112,10003033
43,10003106,Network types,10003113,10003033
43,10003106,Network types,10003114,10003033
43,10003106,Network types,10003119,10003033
43,10003106,Network types,10010582,10003033
43,10003106,Network types,10010924,10003033
43,10003106,Network types,10011705,10003033
44,10003121,Human computer interaction (HCI),10003122,10003120
44,10003121,Human computer interaction (HCI),10003124,10003120
44,10003121,Human computer interaction (HCI),10003125,10003120
44,10003121,Human computer interaction (HCI),10003126,10003120
44,10003121,Human computer interaction (HCI),10003128,10003120
44,10003121,Human computer interaction (HCI),10003129,10003120
44,10003121,Human computer interaction (HCI),10011748,10003120
45,10003123,Interaction design,10010860,10003120
45,10003123,Interaction design,10011758,10003120
45,10003123,Interaction design,10011759,10003120
45,10003123,Interaction design,10011760,10003120
46,10003130,Collaborative and social computing,10003131,10003120
46,10003130,Collaborative and social computing,10003134,10003120
46,10003130,Collaborative and social computing,10003233,10003120
46,10003130,Collaborative and social computing,10011762,10003120
46,10003130,Collaborative and social computing,10011764,10003120
47,10003138,Ubiquitous and mobile computing,10003139,10003120
47,10003138,Ubiquitous and mobile computing,10003140,10003120
47,10003138,Ubiquitous and mobile computing,10003141,10003120
47,10003138,Ubiquitous and mobile computing,10003142,10003120
47,10003138,Ubiquitous and mobile computing,10011767,10003120
48,10003145,Visualization,10003146,10003120
48,10003145,Visualization,10003147,10003120
48,10003145,Visualization,10003151,10003120
48,10003145,Visualization,10011768,10003120
48,10003145,Visualization,10011769,10003120
48,10003145,Visualization,10011770,10003120
49,10011738,Accessibility,10011772,10003120
49,10011738,Accessibility,10011773,10003120
49,10011738,Accessibility,10011774,10003120
49,10011738,Accessibility,10011775,10003120
49,10011738,Accessibility,10011776,10003120
50,10003457,Professional topics,10003458,10003456
50,10003457,Professional topics,10003490,10003456
50,10003457,Professional topics,10003521,10003456
50,10003457,Professional topics,10003527,10003456
50,10003457,Professional topics,10003567,10003456
50,10003457,Professional topics,10003580,10003456
51,10003462,Computing / technology policy,10003463,10003456
51,10003462,Computing / technology policy,10003477,10003456
51,10003462,Computing / technology policy,10003480,10003456
51,10003462,Computing / technology policy,10003487,10003456
51,10003462,Computing / technology policy,10003544,10003456
51,10003462,Computing / technology policy,10003561,10003456
51,10003462,Computing / technology policy,10003574,10003456
51,10003462,Computing / technology policy,10003588,10003456
51,10003462,Computing / technology policy,10003602,10003456
52,10010927,User characteristics,10003611,10003456
52,10010927,User characteristics,10003612,10003456
52,10010927,User characteristics,10003613,10003456
52,10010927,User characteristics,10003614,10003456
52,10010927,User characteristics,10003616,10003456
52,10010927,User characteristics,10003618,10003456
52,10010927,User characteristics,10003619,10003456
52,10010927,User characteristics,10010930,10003456
53,10003753,Models of computation,10003754,10003752
53,10003753,Models of computation,10003757,10003752
53,10003753,Models of computation,10003758,10003752
53,10003753,Models of computation,10003759,10003752
53,10003753,Models of computation,10003760,10003752
53,10003753,Models of computation,10003761,10003752
53,10003753,Models of computation,10003765,10003752
53,10003753,Models of computation,10010622,10003752
54,10003766,Formal languages and automata theory,10003767,10003752
54,10003766,Formal languages and automata theory,10003770,10003752
54,10003766,Formal languages and automata theory,10003771,10003752
54,10003766,Formal languages and automata theory,10003772,10003752
54,10003766,Formal languages and automata theory,10003773,10003752
54,10003766,Formal languages and automata theory,10003776,10003752
55,10003777,Computational complexity and cryptography,10003778,10003752
55,10003777,Computational complexity and cryptography,10003779,10003752
55,10003777,Computational complexity and cryptography,10003780,10003752
55,10003777,Computational complexity and cryptography,10003781,10003752
55,10003777,Computational complexity and cryptography,10003782,10003752
55,10003777,Computational complexity and cryptography,10003783,10003752
55,10003777,Computational complexity and cryptography,10003784,10003752
55,10003777,Computational complexity and cryptography,10003785,10003752
55,10003777,Computational complexity and cryptography,10003786,10003752
55,10003777,Computational complexity and cryptography,10003787,10003752
55,10003777,Computational complexity and cryptography,10003788,10003752
55,10003777,Computational complexity and cryptography,10003789,10003752
56,10003790,Logic,10002990,10003752
56,10003790,Logic,10003792,10003752
56,10003790,Logic,10003793,10003752
56,10003790,Logic,10003794,10003752
56,10003790,Logic,10003795,10003752
56,10003790,Logic,10003796,10003752
56,10003790,Logic,10003797,10003752
56,10003790,Logic,10003798,10003752
56,10003790,Logic,10003799,10003752
56,10003790,Logic,10003800,10003752
56,10003790,Logic,10003801,10003752
56,10003790,Logic,10003806,10003752
56,10003790,Logic,10011119,10003752
56,10003790,Logic,10011192,10003752
56,10003790,Logic,10011740,10003752
56,10003790,Logic,10011741,10003752
56,10003790,Logic,10011742,10003752
57,10003809,Design and analysis of algorithms,10003635,10003752
57,10003809,Design and analysis of algorithms,10003636,10003752
57,10003809,Design and analysis of algorithms,10003716,10003752
57,10003809,Design and analysis of algorithms,10010031,10003752
57,10003809,Design and analysis of algorithms,10010047,10003752
57,10003809,Design and analysis of algorithms,10010052,10003752
57,10003809,Design and analysis of algorithms,10010055,10003752
57,10003809,Design and analysis of algorithms,10010170,10003752
57,10003809,Design and analysis of algorithms,10010172,10003752
57,10003809,Design and analysis of algorithms,10011254,10003752
57,10003809,Design and analysis of algorithms,10011778,10003752
58,10010061,"Randomness, geometry and discrete structures",10010062,10003752
58,10010061,"Randomness, geometry and discrete structures",10010063,10003752
58,10010061,"Randomness, geometry and discrete structures",10010064,10003752
58,10010061,"Randomness, geometry and discrete structures",10010065,10003752
58,10010061,"Randomness, geometry and discrete structures",10010066,10003752
58,10010061,"Randomness, geometry and discrete structures",10010067,10003752
58,10010061,"Randomness, geometry and discrete structures",10010068,10003752
58,10010061,"Randomness, geometry and discrete structures",10010069,10003752
58,10010061,"Randomness, geometry and discrete structures",10011795,10003752
59,10010070,Theory and algorithms for application domains,10010071,10003752
59,10010070,Theory and algorithms for application domains,10010099,10003752
59,10010070,Theory and algorithms for application domains,10010111,10003752
59,10010070,Theory and algorithms for application domains,10011796,10003752
60,10010124,Semantics and reasoning,10010125,10003752
60,10010124,Semantics and reasoning,10010131,10003752
60,10010124,Semantics and reasoning,10010138,10003752
61,10010148,Symbolic and algebraic manipulation,10010149,10010147
61,10010148,Symbolic and algebraic manipulation,10010162,10010147
61,10010148,Symbolic and algebraic manipulation,10010164,10010147
62,10010169,Parallel computing methodologies,10010170,10010147
62,10010169,Parallel computing methodologies,10010175,10010147
63,10010178,Artificial intelligence,10010179,10010147
63,10010178,Artificial intelligence,10010187,10010147
63,10010178,Artificial intelligence,10010199,10010147
63,10010178,Artificial intelligence,10010205,10010147
63,10010178,Artificial intelligence,10010213,10010147
63,10010178,Artificial intelligence,10010216,10010147
63,10010178,Artificial intelligence,10010219,10010147
63,10010178,Artificial intelligence,10010224,10010147
64,10010257,Machine learning,10010258,10010147
64,10010257,Machine learning,10010282,10010147
64,10010257,Machine learning,10010293,10010147
64,10010257,Machine learning,10010321,10010147
64,10010257,Machine learning,10010339,10010147
65,10010341,Modeling and simulation,10010342,10010147
65,10010341,Modeling and simulation,10010346,10010147
65,10010341,Modeling and simulation,10010349,10010147
65,10010341,Modeling and simulation,10010366,10010147
65,10010341,Modeling and simulation,10010370,10010147
66,10010371,Computer graphics,10010352,10010147
66,10010371,Computer graphics,10010372,10010147
66,10010371,Computer graphics,10010382,10010147
66,10010371,Computer graphics,10010387,10010147
66,10010371,Computer graphics,10010395,10010147
66,10010371,Computer graphics,10010396,10010147
67,10010919,Distributed computing methodologies,10010172,10010147
67,10010919,Distributed computing methodologies,10010177,10010147
68,10011777,Concurrent computing methodologies,10011014,10010147
68,10011777,Concurrent computing methodologies,10011778,10010147
69,10003550,Electronic commerce,10003551,10010405
69,10003550,Electronic commerce,10003552,10010405
69,10003550,Electronic commerce,10003553,10010405
69,10003550,Electronic commerce,10003554,10010405
69,10003550,Electronic commerce,10003555,10010405
69,10003550,Electronic commerce,10003556,10010405
